Corpus	German	German	German	German	German	German	French	French	French	French	French	French	American English	American English	American English	American English	American English	American English
Painter	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian
1922	3.0261012235704195e-08	3.4530170976511595e-08	9.522781483996466e-09	3.28949283050812e-08	5.391197761233408e-08	1.7059567806018298e-09	5.354224035564974e-08	1.7318754462282626e-08	8.902693899542108e-10	1.398191865778894e-07	9.246857679556797e-08	0.0	1.7442198859843724e-08	6.286216456105212e-09	2.5184558882784813e-09	1.5561064437008554e-08	4.042822432381854e-08	1.1624121942777066e-09
1923	2.9300811681715848e-08	3.530337444601628e-08	1.0473725632818644e-08	3.3805461414309386e-08	5.165115408394578e-08	4.779220852402233e-09	5.138209908344444e-08	2.2656432349269347e-08	8.902693899542108e-10	1.5394201215355808e-07	8.423672705402754e-08	0.0	1.903767245435363e-08	7.46665003238865e-09	2.7028386513044164e-09	1.8867641417484393e-08	4.023307376144203e-08	1.1785147817950608e-09
1924	3.4056125538687154e-08	3.463956055327344e-08	9.443891636960546e-09	3.449642920522982e-08	4.1758252348042136e-08	5.056802048526115e-09	5.1683349409716225e-08	2.3365855980220625e-08	8.902693899542108e-10	1.4006104720465373e-07	7.701212340854064e-08	4.77823939145797e-10	2.1880595621074202e-08	8.500187193005715e-09	2.8849349893127804e-09	2.3041057442948646e-08	3.6683364155822214e-08	1.3168077778973647e-09
1925	3.477917788684083e-08	3.5242464438819554e-08	9.199272835555154e-09	2.9089215227072274e-08	3.938932621342214e-08	5.84212255556287e-09	5.172541353967322e-08	2.843551990697587e-08	1.2717747490041477e-09	1.4165972471248877e-07	8.393657959158776e-08	6.410530994926944e-10	2.3668483173366894e-08	9.259363561601016e-09	3.098457236814868e-09	2.541751431550665e-08	3.146646904943802e-08	1.5721922533692582e-09
1926	3.6194266123905957e-08	3.573687073250247e-08	8.9097080189861e-09	3.00075266222523e-08	4.0093314953740644e-08	6.014676312560141e-09	5.1872814107615084e-08	3.36937260948998e-08	1.4330235093800476e-09	1.1759979352226374e-07	8.412178154060257e-08	6.410530994926944e-10	2.644277102043751e-08	1.0128771662668408e-08	2.9464230896384234e-09	2.7289833884732876e-08	2.899086101340994e-08	1.6690774992270514e-09
1927	3.587317490679912e-08	3.335838069265914e-08	9.658533655405271e-09	3.5080979898793885e-08	4.039134525259312e-08	6.274084838965775e-09	5.226198140917404e-08	3.9387657833702047e-08	1.2813671076575668e-09	1.1942206867843197e-07	8.32688094983983e-08	7.911045786711059e-10	2.659394000253152e-08	1.044589957390128e-08	2.784786671102982e-09	3.030090438877713e-08	2.23289216957515e-08	9.291223703110165e-10
1928	3.435608470730196e-08	2.939976008674096e-08	8.03276667404873e-09	3.61968560521778e-08	3.259536361456737e-08	5.2226260776373175e-09	4.758766282618256e-08	3.9119018373818496e-08	1.2813671076575668e-09	1.1176600927293684e-07	1.0137613364642156e-07	7.911045786711059e-10	2.762494969285204e-08	9.879876345613475e-09	3.0742205447964466e-09	3.2046406417407525e-08	2.5369949950361714e-08	9.615008769329032e-10
1929	3.122978117379002e-08	2.2623236871157004e-08	5.441050118396415e-09	2.9723270448097797e-08	2.8644355459001806e-08	5.555501614296077e-09	4.614711457406884e-08	3.5494842874429974e-08	9.6713345268792e-10	1.0560919554742603e-07	9.710913825447928e-08	7.911045786711059e-10	2.9463609710741626e-08	9.265432230977564e-09	2.712577511816099e-09	3.551064331475118e-08	2.4871401953825105e-08	8.268962558328446e-10
1930	2.994292382295173e-08	1.962649636461882e-08	4.3145414225469784e-09	2.570864803581279e-08	2.8392044651833918e-08	2.356444341243348e-09	4.680561208455661e-08	3.2384408551625454e-08	1.13100005551457e-09	8.606859377583273e-08	9.263053410027819e-08	1.4465709899777072e-09	3.5394641376537295e-08	9.698536703898038e-09	3.0522059007204963e-09	3.7375484294800895e-08	2.6058544021014185e-08	1.4921314521267247e-09
1931	2.1536946067815928e-08	1.5859783581666827e-08	3.759379030299215e-09	2.1764410844988495e-08	1.972785306542895e-08	2.0788631451194662e-09	4.544598754461861e-08	3.257466119066521e-08	1.13100005551457e-09	9.031956287636994e-08	8.873940921765617e-08	1.139912481867051e-09	3.7725482674285815e-08	9.363538896626063e-09	3.568758352326792e-09	3.761972371713844e-08	2.8791483229286185e-08	1.4293754533164664e-09
