Type	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular
Past	burned	dived	dreamed	dwelled	kneeled	learned	lighted	slinked	spilled	spoiled	strived	waked	burnt	dove	dreamt	dwelt	knelt	learnt	lit	slunk	spilt	spoilt	strove	woke
1820	9.73737145873851e-06	4.940781406860748e-07	2.3702144582265257e-06	2.4510666816825376e-07	1.4797162586026907e-06	0.00013454747802045728	1.1644633819482156e-05	2.0730282887119043e-09	3.770966381060654e-07	5.134824797486155e-06	5.6603030580098286e-08	1.542000323492435e-06	3.0094318000400172e-05	5.01439743467407e-06	1.9483755003031026e-06	1.365810372330348e-05	2.027264323649953e-06	1.134508108537245e-05	3.3695825030528274e-06	3.528722142423898e-07	1.6433558747459237e-06	4.906139525116617e-07	4.9569424455902274e-06	7.62277449796654e-07
1821	9.718619496977357e-06	4.916167556854946e-07	2.486867694122858e-06	2.434258062424176e-07	1.5583669080245142e-06	0.00013395920437428037	1.1763068739258284e-05	2.0407747872549666e-09	3.6443499798874003e-07	5.4154090451317775e-06	5.8866557342948256e-08	1.6075043406869684e-06	2.9857867567833246e-05	5.183968629093475e-06	1.9801725557044847e-06	1.3829229179204308e-05	2.1679919492661222e-06	1.131552796453304e-05	3.346220442576201e-06	3.8477581045169374e-07	1.6097093618684864e-06	4.977132732619793e-07	5.080370491279089e-06	7.974324814443077e-07
1822	9.926574940826477e-06	4.7134934431726704e-07	2.642952056573579e-06	2.4277028793611475e-07	1.5931365006898496e-06	0.0001336414529110438	1.2088423188418216e-05	2.4150814998640565e-09	3.725778136803066e-07	5.577459108150963e-06	6.079603309672166e-08	1.6716796023631884e-06	3.007791331453648e-05	5.261427304503741e-06	2.0334805575268026e-06	1.4038534702974306e-05	2.379804365253741e-06	1.1397005567102627e-05	3.4050055026974794e-06	4.1075594075274627e-07	1.6548892257820365e-06	5.093233466725775e-07	5.1900992080585894e-06	8.396773815937715e-07
1823	1.0189211414919036e-05	4.828803160502762e-07	2.8314858419824825e-06	2.3751148603423644e-07	1.6018190243422786e-06	0.00013235814029550447	1.2350295427105656e-05	2.555544268264701e-09	3.748688308340726e-07	5.6565503915148185e-06	6.805676124242512e-08	1.7017644527835988e-06	2.9977013452610534e-05	5.268020426488615e-06	2.1365561256711122e-06	1.399132478192249e-05	2.6078390159714867e-06	1.1360932278746208e-05	3.410045597515169e-06	4.3460072366282733e-07	1.6863438077052706e-06	5.038746532396285e-07	5.2582578453958765e-06	8.846023108942193e-07
1824	1.0450939173876708e-05	4.6821620003356657e-07	2.9035974031493036e-06	2.501829722437573e-07	1.470767918882692e-06	0.00012938848522026092	1.2669148158498242e-05	2.332179068912207e-09	3.8558608090560096e-07	5.634215150556494e-06	7.80423162284803e-08	1.6252778160768294e-06	2.9834867746103555e-05	5.255595429584251e-06	2.105134740304493e-06	1.408371372235706e-05	2.711028758182822e-06	1.1284222897042387e-05	3.464088422333589e-06	4.454077254324927e-07	1.644490225771733e-06	5.146826660101007e-07	5.2822685704865894e-06	8.984312184371188e-07
1825	1.0808969688826306e-05	4.549807418438182e-07	3.003847008845436e-06	2.547674853303761e-07	1.4854354536250218e-06	0.00012197216087120719	1.2558918050282436e-05	2.2797610148878836e-09	3.9111122873691784e-07	5.701343590252301e-06	7.931996545299366e-08	1.550164646297552e-06	2.9901904521726203e-05	5.362317291915783e-06	2.0771519595135553e-06	1.4448394592493838e-05	2.6927879974079716e-06	1.09812431868964e-05	3.4958782180183334e-06	4.2275164803738464e-07	1.623636827779202e-06	5.400442749500403e-07	5.1781554637792785e-06	9.009304286727067e-07
1826	1.0927358874011719e-05	4.442110658991234e-07	3.1171852502406442e-06	2.2645251972010426e-07	1.4566984905936157e-06	0.00012104353663744405	1.2733286244578526e-05	2.2161625867767043e-09	3.9312881686523073e-07	5.6578759800426525e-06	7.955938282780803e-08	1.4535465717407142e-06	2.9751087952588152e-05	5.275167105927332e-06	2.058025448345039e-06	1.445836434348686e-05	2.7621648379343763e-06	1.0887543404740946e-05	3.5797460376280858e-06	4.2122270217857606e-07	1.5550368094149495e-06	5.509234231989726e-07	4.919540645330146e-06	9.568039526389579e-07
1827	1.1102025122714362e-05	4.564449146268349e-07	3.156535675381227e-06	2.2050941441063644e-07	1.3957435060417213e-06	0.00012014109857513436	1.2713957663176448e-05	2.0687656508501716e-09	3.9560869627816177e-07	5.50990827313009e-06	7.567715800048194e-08	1.366059921435538e-06	2.889092684199568e-05	5.224883222711339e-06	2.0509256403654163e-06	1.4393165916512121e-05	2.867937447652886e-06	1.077761213049858e-05	3.644253183665569e-06	4.215654436328415e-07	1.5154140068521623e-06	5.564445595090157e-07	4.95237814642938e-06	9.884084387782162e-07
1828	1.1405473092703947e-05	4.6406800687951287e-07	3.278700497893234e-06	2.3143768958431921e-07	1.3570296135055417e-06	0.0001189910523992564	1.2832765605708119e-05	2.014090814763035e-09	4.263523497424363e-07	5.412709924712544e-06	7.320797428584618e-08	1.3311814979845491e-06	2.8326224959788044e-05	5.192943197991033e-06	2.0615054024476976e-06	1.4568349927555704e-05	2.962114876936539e-06	1.0386152877929686e-05	3.7589955224705463e-06	4.2358290589358407e-07	1.5295210167615941e-06	5.503094087089266e-07	5.081056445175948e-06	1.0341327570781037e-06
1829	1.1333870263894954e-05	4.7617098175578576e-07	3.2465490156547664e-06	2.2670161976228493e-07	1.2710506780422293e-06	0.0001153458485662538	1.2402039958812696e-05	1.7100583806138404e-09	4.456981628209178e-07	5.068279376376138e-06	7.135240664979392e-08	1.2685991188326234e-06	2.6355374107619616e-05	4.9076248355309616e-06	1.999470019394981e-06	1.3997943304795107e-05	2.863710863363979e-06	9.585509555368585e-06	3.753328298574031e-06	4.106570494449053e-07	1.4438008162999592e-06	5.394094070457609e-07	4.875797100924371e-06	1.0364010287438369e-06
