	Abraham Lincoln	Nelson Mandela	John F. Kennedy	Winston Churchill	Mahatma Gandhi	Charles Darwin	Albert Einstein	Jawaharlal Nehru	Vincent Van Gogh	Franklin D. Roosevelt	Thomas Edison	Rosa Parks	Lyndon Johnson	Indira Gandhi	George Orwell	Jesse Owens	Joseph Stalin	Vladimir Lenin	Ingrid Bergman	Leo Tolstoy	Pablo Picasso	Oscar Wilde	Coco Chanel	Charles de Gaulle	John M. Keynes	Louis Pasteur	Adolf Hitler	Alfred Hitchcock	Ronald Reagan	Babe Ruth	Sigmund Freud	Woodrow Wilson	Mao Zedong	Katherine Hepburn
20	1.682566206996837e-08	1.1042768485339645e-09	1.6286687998245952e-08	1.795947657257102e-08	4.881232973374949e-09	9.007916190739707e-09	1.6844957769926845e-09	1.4537372605308692e-09	0.0	2.8064076697452224e-09	2.4349444286261447e-10	2.929071866005931e-10	1.328315622574548e-08	1.569999606511528e-09	1.4947097468473051e-09	1.945781870547693e-08	8.139122154027234e-10	0.0	1.0353790681959042e-09	1.738437647804046e-10	1.4017915994646302e-10	3.4652240204253407e-09	8.564384915540505e-11	3.711039005855581e-10	0.0	3.345133376646865e-10	1.064110950148895e-09	1.1312590110699817e-09	1.3910976370823391e-08	2.2660618778250605e-09	2.6973447285273874e-10	5.414818752110964e-09	0.0	3.3283482517695463e-10
21	1.681241932973064e-08	9.020905173644828e-10	1.637280527028955e-08	2.995024482390006e-08	4.457937503270821e-09	9.38734042879982e-09	2.1507921356610028e-09	1.4214278117636552e-09	0.0	3.5758346680506546e-09	1.8963259137575302e-10	2.713168856249837e-10	1.0127143821949045e-08	1.2624234673503614e-09	1.4548932832290718e-09	2.910136101938069e-08	8.139122154027234e-10	0.0	3.5694446763402864e-09	2.1843676867305817e-10	3.527353548138379e-10	5.471334789992304e-09	3.270095305651921e-11	3.711039005855581e-10	0.0	3.345133376646865e-10	5.476752662492146e-10	1.3750389596786254e-09	1.5132177035224814e-08	5.225100812340193e-09	2.557797069384955e-10	5.2226980835306284e-09	0.0	4.843524490213572e-10
22	2.1140035690235337e-08	4.0093865925707103e-10	1.560657983798056e-08	5.601652944672456e-08	4.492614875355778e-09	9.133743919928098e-09	2.250597601140468e-09	1.1601870049988377e-09	0.0	2.8521268442232336e-09	8.334936312565893e-11	2.713168856249837e-10	1.0186481594739608e-08	1.0165029968549938e-09	1.5285347412400237e-09	3.3427164940797686e-08	8.464679929209851e-10	0.0	7.022423277801084e-09	2.1843676867305817e-10	3.6786429953781866e-10	7.695304171662087e-09	3.270095305651921e-11	3.0761818390187147e-10	0.0	3.983598807964585e-10	4.3695767242597176e-10	1.261762876720545e-09	1.4834409256536674e-08	2.0767962199170446e-08	2.903193241365898e-10	9.83966203753945e-09	0.0	1.2539032015082947e-09
23	2.3707874330369805e-08	4.0093865925707103e-10	1.54483323276468e-08	1.0343785091951726e-07	4.038480343788413e-09	9.678041098685038e-09	2.668168471878626e-09	1.1996859250066168e-09	0.0	3.186056838990124e-09	8.334936312565893e-11	2.912108471031516e-10	9.189240003846879e-09	1.0315765107206586e-09	1.7544127024165285e-09	3.637275858281441e-08	8.917486630074681e-10	0.0	1.2117458909293483e-08	2.1843676867305817e-10	2.9208314834232903e-10	9.86491964307033e-09	3.270095305651921e-11	3.2191610290142695e-10	1.5514986121242405e-11	3.983598807964585e-10	6.528392231570329e-10	2.3863303793320814e-09	1.581508758872831e-08	4.8636457266366355e-08	2.903193241365898e-10	1.0447620673354713e-08	1.4304875736329388e-11	3.532233309415973e-09
24	2.1823117344967258e-08	8.063807637499159e-10	2.260159519857601e-08	1.4422451436299104e-07	4.191924950016e-09	1.128911554713698e-08	3.3844658742232525e-09	1.2528359183416882e-09	0.0	3.4767855816575377e-09	1.2199482693883316e-10	3.5060830627653417e-10	8.575055046985573e-09	7.328054393454916e-10	1.7738321208707726e-09	3.828882721990112e-08	9.3713549618814e-10	0.0	1.4565339918297987e-08	2.1843676867305817e-10	2.7495295227116957e-10	3.315452674306536e-08	3.270095305651921e-11	3.0719856024065603e-10	1.5514986121242405e-11	3.983598807964585e-10	8.258656774324485e-10	2.5999671661645708e-09	7.241025493495304e-09	7.305468009897811e-08	5.719624773803389e-10	1.1114599589896151e-08	1.4304875736329388e-11	6.4781552443810804e-09
25	2.3207230676851916e-08	8.696209149608844e-10	2.3841841199713698e-08	1.7869007327776997e-07	2.0503133635330073e-09	2.2354658632143095e-08	2.1413457951258152e-09	7.519339377339205e-10	0.0	4.187803215316421e-09	2.0003843026472623e-10	3.876733319284144e-10	8.278518156704503e-09	1.193392166833261e-09	1.94848868785767e-09	4.068654467305675e-08	1.9074438060785936e-10	0.0	2.3356635578001113e-08	2.1843676867305817e-10	2.7495295227116957e-10	8.72008709050322e-08	3.270095305651921e-11	4.369226121776164e-10	1.5514986121242405e-11	3.983598807964585e-10	9.645040004763977e-10	3.037117751736318e-09	1.1289735876321823e-08	9.12363426713065e-08	5.929431231724688e-10	1.243399535714015e-08	1.4304875736329388e-11	8.927478216997592e-09
26	2.302937212356986e-08	7.062814309590136e-09	3.09232012694695e-08	2.1595053872098496e-07	1.8962699981679113e-09	4.259202368572801e-08	2.1832792994138016e-09	4.173290919189705e-10	0.0	5.213876124494326e-09	3.065076525921029e-10	3.8886949811039225e-10	1.0070645460404291e-08	3.54372160584125e-09	1.0609537851432753e-09	3.949320312049817e-08	1.9074438060785936e-10	0.0	3.497143742846122e-08	1.0268053867485655e-10	3.273523823042547e-10	1.1523617780641513e-07	1.3081426814791947e-11	2.728213706536055e-10	9.820103460559234e-11	1.1607789332909339e-10	1.018389781234522e-09	3.4519290481593856e-09	1.4645526061737461e-08	1.0598429867059167e-07	9.630622014153038e-10	2.0686739876651927e-08	1.4304875736329388e-11	1.07773531369101e-08
27	1.4520413760266138e-08	7.2036509535244875e-09	4.511799924143491e-08	2.6435311590538344e-07	9.680741446566848e-10	6.113309122416208e-08	2.3203507409126037e-09	8.194655906227208e-10	0.0	5.806905749900742e-09	6.438235619235907e-10	2.3984033608354897e-10	4.653338222685274e-09	4.927314274848018e-09	2.206464867958248e-09	3.0979647545694074e-08	1.7344915781425385e-10	1.9412393914564063e-10	4.908138403639636e-08	1.0268053867485655e-10	6.531509767561592e-10	1.4414829076412972e-07	1.3081426814791947e-11	2.7320505976583375e-10	1.1197492437244248e-10	1.1607789332909339e-10	9.70957869661504e-10	3.962346835560484e-09	1.6662352577055473e-08	1.1942215419732553e-07	1.268669899293481e-09	3.003435500303908e-08	1.4304875736329388e-11	1.2974456525023065e-08
28	1.3603031082506537e-08	7.92741295623551e-09	4.817485610431049e-08	2.920763262993985e-07	4.366067467882167e-09	7.260283713910504e-08	1.927417610435102e-09	9.125654398811633e-10	0.0	8.436098867089673e-09	1.5222349373075365e-09	2.3984033608354897e-10	5.539617272834871e-09	5.117935761697215e-09	3.6519096476997757e-09	2.4922480333446273e-08	1.7344915781425385e-10	1.9412393914564063e-10	6.577583684069005e-08	0.0	1.290887507007391e-09	1.5942864222446523e-07	1.3081426814791947e-11	2.7320505976583375e-10	1.1197492437244248e-10	1.1607789332909339e-10	1.1436906461564129e-09	4.711060561498773e-09	2.0433660668268365e-08	1.339177342986529e-07	1.2311615734831145e-09	3.50738668584784e-08	1.4304875736329388e-11	1.5631158335947604e-08
29	8.833453841410638e-09	7.909857681541257e-09	6.294051755974448e-08	3.2853128167127057e-07	4.261461947208112e-09	8.020617160907153e-08	1.8037345545745304e-09	1.3918788225161398e-09	0.0	1.494110213329236e-08	2.3251806472287686e-09	3.1093309474769116e-10	7.45652048042952e-09	6.21138542187895e-09	4.915553678383081e-09	2.4540736680884427e-08	1.7998921004418785e-10	1.9412393914564063e-10	8.026546107130019e-08	0.0	2.3219493153600214e-09	1.734181885077695e-07	1.3081426814791947e-11	2.2996273734461019e-10	1.4080313998077187e-10	5.2231350197321345e-11	1.2131732404377767e-09	5.675026480491039e-09	2.3127635425826805e-08	1.3986465725273384e-07	1.3070340325922152e-09	3.958794688888442e-08	4.269534259867694e-10	1.762383737359739e-08
